+--------+--------------------------+--------------+--------------------------+---------------------------+--------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total     | #leftarrow 0.47 (75.00)  | #rightarrow 0.90 (31.25)  | #leftarrow 0.97 (68.75)  |
| Bin32  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin33  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin34  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin35  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin36  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin37  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin38  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin39  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin40  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin41  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin42  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin43  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin44  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin45  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin46  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin47  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin48  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin49  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin50  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin51  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin52  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin53  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin54  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin55  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin56  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin57  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin58  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin59  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin60  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin61  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin62  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin63  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin64  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin65  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin66  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin67  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin68  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin69  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin70  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin71  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin72  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin73  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin74  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin75  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin76  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin77  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin78  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin79  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin80  |          0 ± 0           |    0 ± 0     |          1 ± 0           |           0 ± 0           |          1 ± 0           |
| Bin81  |          0 ± 0           |    0 ± 0     |          0 ± 0           |           0 ± 0           |          0 ± 0           |
+--------+--------------------------+--------------+--------------------------+---------------------------+--------------------------+
